Année;Production totale (TWh);Production thermique (TWh);Production thermique fioul (TWh);Production thermique charbon (TWh);Production thermique gaz (TWh);Production hydraulique (TWh);Production nucléaire (TWh);Production éolienne (TWh);Production solaire (TWh);Production bioénergies (TWh);Consommation totale (TWh)
2014;537.8;24.6;2.1;8.4;14.1;67.4;415.8;17.0;5.9;7.1;462.739757367817
2017;528.3;53.5;2.9;9.7;40.9;53.2;379.1;24.0;9.1;9.3;481.0817330795737
2022;446.3;49.1;2.2;2.9;43.9;49.6;279.0;38.9;19.2;10.6;453.943600846625
2018;547.6;38.4;1.8;5.7;31.0;67.8;393.2;28.1;10.4;9.5;477.2446574511855
2020;499.7;37.3;1.6;1.3;34.4;64.9;335.4;39.7;12.7;9.6;448.4849385717737
2021;522.4;38.6;1.9;3.8;32.8;62.0;360.7;36.9;14.2;10.0;471.5153254139706
2023;494.7;31.7;1.7;0.8;29.1;58.8;320.4;50.9;22.5;10.3;438.5014082957871
2016;530.6;45.0;2.5;7.2;35.3;63.6;384.0;20.9;8.4;8.6;482.402092686004
2012;542.0;48.1;6.7;17.4;24.0;63.8;405.0;14.9;4.1;5.8;490.0
2015;544.8;33.0;2.4;8.6;22.0;58.7;416.8;21.1;7.4;7.7;474.0864102980307
2024;539.0;20.0;1.8;0.7;17.4;75.1;361.7;46.9;24.8;10.5;442.2564761477524
2013;550.0;43.6;3.8;19.9;19.9;75.5;404.0;15.9;4.7;7.1;495.0
2019;536.1;41.7;1.9;1.5;38.3;59.6;379.5;33.8;12.0;9.5;472.0336722920767
